FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,05/07/1995 20:30,8.68,418,95.1,15.6,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 21:00,8.64,418,93.8,15.5,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 21:30,8.6,420,92,15.4,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 22:00,8.55,425,89.8,15.4,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 22:30,8.52,429,88.1,15.3,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 23:00,8.47,432,85.9,15.2,12.7
29033,S1,Swale at Catterick Bridge,05/07/1995 23:30,8.44,436,84.4,15.1,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 00:00,8.41,439,82.3,15.1,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 00:30,8.37,441,81.2,15,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 01:00,8.34,440,80,15,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 01:30,8.31,437,79,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 02:00,8.29,436,78.6,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 02:30,8.27,433,77.2,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 03:00,8.25,432,76.3,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 03:30,8.24,432,76.3,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 04:00,8.21,432,75.5,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 04:30,8.22,432,75.7,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 05:00,8.19,433,75.3,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 05:30,8.19,433,74.4,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 06:00,8.2,434,74.3,14.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 06:30,8.21,434,75.6,15,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 07:00,8.21,435,78,15.1,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 07:30,8.23,434,81.4,15.3,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 08:00,8.26,434,84.5,15.4,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 08:30,8.27,434,89.1,15.6,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 09:00,8.32,432,92.5,15.8,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 09:30,8.37,431,97,15.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 10:00,8.41,429,98.6,16.1,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 10:30,8.45,427,100.9,16.2,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 11:00,8.47,426,104.6,16.3,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 11:30,8.51,425,105.7,16.5,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 12:00,8.59,423,109.9,16.6,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 12:30,8.6,422,111.3,16.8,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 13:00,8.64,423,112.7,16.9,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 13:30,8.67,423,112.9,17,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 14:00,8.7,423,113.4,17,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 14:30,8.72,423,113.4,17.1,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 15:00,8.75,422,115.7,17.3,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 15:30,8.8,421,119.1,17.5,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 16:00,8.82,419,117.7,17.7,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 16:30,8.84,417,117,17.9,12.9
29033,S1,Swale at Catterick Bridge,06/07/1995 17:00,8.85,417,115.7,17.9,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 17:30,8.85,417,112,18,12.8
